

Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
2.01478,0,0,4.919,2,8189,0,91,0,2.31795
2.18934,0,0,4.22,2,8189,0,96,0,2.77222
2.63184,0,0,7.244,2,8189,0,118,0,2.77222
0.62891,0,0,22.462,2,8190,0,37,0,2.52762
2.17781,0,0,6.371,2,8191,0,103,0,2.6208
1.94494,0,0,6.397,2,8189,0,92,0,2.52762
1.65383,0,0,12.616,2,8190,0,79,0,2.52762
1.77024,0,0,10.529,2,8189,0,83,0,2.53926
0.978288,0,0,25.421,2,8189,0,47,0,2.6208
0.861787,0,0,16.305,2,8190,0,45,0,2.50432
0.920014,0,0,14.312,2,8190,0,50,0,2.41114
1.40916,0,0,7.206,2,8189,0,68,0,2.51597
1.60706,0,0,8.528,2,8189,0,78,0,2.53926
0.349363,0,0,30.594,2,8190,0,23,0,2.50432
0.675441,0,0,19.344,2,8191,0,32,0,2.39949
1.11797,0,0,12.346,2,8191,0,56,0,2.22477
0.430889,0,0,36.238,2,8191,0,25,0,2.21312
0.75697,0,0,18.746,2,8189,0,40,0,1.89862
1.2694,0,0,18.678,2,8189,0,59,0,1.75885
0.989906,0,0,8.146,2,8191,0,46,0,1.4793
2.59704,0,0,5.032,2,8189,0,116,0,1.26963
2.02654,0,0,4.957,2,8189,0,93,0,1.37446
2.07311,0,0,8.982,2,8189,0,96,0,1.31622
2.24771,0,0,4.874,2,8189,0,105,0,1.75885
1.36254,0,0,8.811,2,8189,0,65,0,2.85376
0.605569,0,0,37.968,2,8190,0,32,0,2.87706
1.68862,0,0,6.709,2,8189,0,81,0,3.05178
0.372658,0,0,12.982,2,8190,0,21,0,3.06342
0.0232912,0,0,17.261,2,8191,0,1,0,3.05178
0.023291,0,0,33.517,2,8189,0,1,0,3.04013
0.0465812,0,2,71.113,2,8191,0,1,0,3.04013
0,0,0,71.113,2,8191,0,0,0,3.04013
0.0465851,0,2,129.162,2,8189,0,1,0,2.98189
0.0232916,0,2,129.162,2,8189,0,0,0,2.98189
0.023292,0,0,200.36,2,8189,0,1,0,2.9353
0.023292,0,2,200.36,2,8189,0,0,0,2.9353
0.023292,0,0,279.407,2,8189,0,1,0,2.90035
0.0232929,0,2,279.407,2,8189,0,0,0,2.90035
0.0465857,0,2,361.072,2,8191,0,1,0,2.86541
0,0,0,361.072,2,8191,0,0,0,2.86541
0.0232905,0,0,455.904,2,8191,0,1,0,2.83046
0.0232909,0,2,455.904,2,8191,0,0,0,2.83046
0.0232914,0,0,543.922,2,8191,0,1,0,2.80717
0.0232913,0,2,543.922,2,8191,0,0,0,2.80717
0.0232912,0,2,543.922,2,8191,0,0,0,2.80717
0.0232913,0,2,543.922,2,8191,0,0,0,2.80717
0.0232914,0,2,543.922,2,8191,0,0,0,2.80717
0.0116459,0,0,633.741,2,8190,0,1,0,2.78387
0.0232916,0,2,633.741,2,8190,0,0,0,2.78387
0.011646,0,0,712.333,2,8191,0,1,0,2.76058
0.0232919,0,2,712.333,2,8191,0,0,0,2.76058
0.0232919,0,2,712.333,2,8191,0,0,0,2.76058
0.0232917,0,2,712.333,2,8191,0,0,0,2.76058
0.0232932,0,2,712.333,2,8191,0,0,0,2.76058
